FLIGHT,ORIGIN,DEST,DEP_TIME,ARR_TIME,DISTANCE
1809-CLT-MSY,CLT,MSY,2016-09-01 18:10:00,2016-09-01 20:12:00,651.0
1810-CLT-TPA,CLT,TPA,2016-09-01 14:50:00,2016-09-01 16:34:00,507.0
1812-CLT-BOS,CLT,BOS,2016-09-01 22:15:00,2016-09-02 00:24:00,728.0
1813-CLT-TPA,CLT,TPA,2016-09-01 07:45:00,2016-09-01 09:29:00,507.0
1814-CLT-ATL,CLT,ATL,2016-09-01 11:35:00,2016-09-01 12:53:00,226.0
1817-CLT-BNA,CLT,BNA,2016-09-01 07:50:00,2016-09-01 09:15:00,328.0
1820-CLT-RSW,CLT,RSW,2016-09-01 22:09:00,2016-09-01 23:59:00,600.0
1821-CLT-DTW,CLT,DTW,2016-09-01 16:40:00,2016-09-01 18:29:00,500.0
1823-CLT-PWM,CLT,PWM,2016-09-01 11:40:00,2016-09-01 13:55:00,813.0
1825-CLT-MEM,CLT,MEM,2016-09-01 20:00:00,2016-09-01 21:45:00,511.0
1827-CLT-SAT,CLT,SAT,2016-09-01 14:50:00,2016-09-01 17:50:00,1095.0
1829-CLT-RDU,CLT,RDU,2016-09-01 22:40:00,2016-09-01 23:29:00,130.0
1831-CLT-MIA,CLT,MIA,2016-09-01 11:45:00,2016-09-01 13:56:00,650.0
1832-CLT-SAT,CLT,SAT,2016-09-01 11:50:00,2016-09-01 14:51:00,1095.0
1835-CLT-SYR,CLT,SYR,2016-09-01 22:15:00,2016-09-01 23:57:00,603.0
1836-CLT-PHX,CLT,PHX,2016-09-01 07:39:00,2016-09-01 12:10:00,1773.0
1837-CLT-RSW,CLT,RSW,2016-09-01 11:55:00,2016-09-01 13:54:00,600.0
1839-CLT-PHL,CLT,PHL,2016-09-01 09:00:00,2016-09-01 10:33:00,449.0
1840-CLT-PIT,CLT,PIT,2016-09-01 18:00:00,2016-09-01 19:26:00,366.0
1842-CLT-PIT,CLT,PIT,2016-09-01 13:15:00,2016-09-01 14:40:00,366.0
1843-CLT-ALB,CLT,ALB,2016-09-01 14:25:00,2016-09-01 16:20:00,646.0
1844-CLT-ORD,CLT,ORD,2016-09-01 11:25:00,2016-09-01 13:34:00,599.0
1846-CLT-BNA,CLT,BNA,2016-09-01 13:19:00,2016-09-01 14:43:00,328.0
1847-CLT-PHL,CLT,PHL,2016-09-01 11:15:00,2016-09-01 12:51:00,449.0
1849-CLT-JAX,CLT,JAX,2016-09-01 13:16:00,2016-09-01 14:39:00,328.0
1851-CLT-ORD,CLT,ORD,2016-09-01 20:00:00,2016-09-01 22:08:00,599.0
1852-CLT-SJU,CLT,SJU,2016-09-01 09:50:00,2016-09-01 13:39:00,1475.0
1853-CLT-RSW,CLT,RSW,2016-09-01 09:54:00,2016-09-01 11:55:00,600.0
1854-CLT-ATL,CLT,ATL,2016-09-01 22:35:00,2016-09-01 23:46:00,226.0
1855-CLT-MSP,CLT,MSP,2016-09-01 14:49:00,2016-09-01 17:32:00,930.0
1857-CLT-MCO,CLT,MCO,2016-09-01 22:20:00,2016-09-01 23:58:00,468.0
1858-CLT-BUF,CLT,BUF,2016-09-01 16:34:00,2016-09-01 18:16:00,546.0
1859-CLT-BNA,CLT,BNA,2016-09-01 18:00:00,2016-09-01 19:25:00,328.0
1860-CLT-ROC,CLT,ROC,2016-09-01 14:35:00,2016-09-01 16:18:00,573.0
